Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanJose,Distance_to_SanFrancisco
452600.00,8.33,41.00,880.00,129.00,322.00,126.00,37.88,-122.23,9263.04,556529.16,735501.81,67432.52,21250.21
358500.00,8.30,21.00,7099.00,1106.00,2401.00,1138.00,37.86,-122.22,10225.73,554279.85,733236.88,65049.91,20880.60
352100.00,7.26,52.00,1467.00,190.00,496.00,177.00,37.85,-122.24,8259.09,554610.72,733525.68,64867.29,18811.49
341300.00,5.64,52.00,1274.00,235.00,558.00,219.00,37.85,-122.25,7768.09,555194.27,734095.29,65287.14,18031.05
342200.00,3.85,52.00,1627.00,280.00,565.00,259.00,37.85,-122.25,7768.09,555194.27,734095.29,65287.14,18031.05
269700.00,4.04,52.00,919.00,213.00,413.00,193.00,37.85,-122.25,7768.09,555194.27,734095.29,65287.14,18031.05
299200.00,3.66,52.00,2535.00,489.00,1094.00,514.00,37.84,-122.25,6843.02,554364.41,733249.81,64315.99,17538.21
241400.00,3.12,52.00,3104.00,687.00,1157.00,647.00,37.84,-122.25,6843.02,554364.41,733249.81,64315.99,17538.21
226700.00,2.08,42.00,2555.00,665.00,1206.00,595.00,37.84,-122.26,6363.95,554949.75,733820.82,64751.46,16744.41
261100.00,3.69,52.00,3549.00,707.00,1551.00,714.00,37.84,-122.25,6843.02,554364.41,733249.81,64315.99,17538.21
281500.00,3.20,52.00,2202.00,434.00,910.00,402.00,37.85,-122.26,7349.62,555778.66,734665.58,65716.12,17260.03
241800.00,3.27,52.00,3503.00,752.00,1504.00,734.00,37.85,-122.26,7349.62,555778.66,734665.58,65716.12,17260.03
213500.00,3.08,52.00,2491.00,474.00,1098.00,468.00,37.85,-122.26,7349.62,555778.66,734665.58,65716.12,17260.03
191300.00,2.67,52.00,696.00,191.00,345.00,174.00,37.84,-122.26,6363.95,554949.75,733820.82,64751.46,16744.41
159200.00,1.92,52.00,2643.00,626.00,1212.00,620.00,37.85,-122.26,7349.62,555778.66,734665.58,65716.12,17260.03
140000.00,2.13,50.00,1120.00,283.00,697.00,264.00,37.85,-122.26,7349.62,555778.66,734665.58,65716.12,17260.03
152500.00,2.78,52.00,1966.00,347.00,793.00,331.00,37.85,-122.27,7016.68,556363.89,735236.53,66154.05,16499.76
155500.00,2.12,52.00,1228.00,293.00,648.00,303.00,37.85,-122.27,7016.68,556363.89,735236.53,66154.05,16499.76
158700.00,1.99,50.00,2239.00,455.00,990.00,419.00,37.84,-122.26,6363.95,554949.75,733820.82,64751.46,16744.41
162900.00,2.60,52.00,1503.00,298.00,690.00,275.00,37.84,-122.27,5976.29,555535.93,734392.52,65195.94,15959.48
147500.00,1.36,40.00,751.00,184.00,409.00,166.00,37.85,-122.27,7016.68,556363.89,735236.53,66154.05,16499.76
159800.00,1.71,42.00,1639.00,367.00,929.00,366.00,37.85,-122.27,7016.68,556363.89,735236.53,66154.05,16499.76
113900.00,1.73,52.00,2436.00,541.00,1015.00,478.00,37.84,-122.27,5976.29,555535.93,734392.52,65195.94,15959.48
99700.00,2.18,52.00,1688.00,337.00,853.00,325.00,37.84,-122.27,5976.29,555535.93,734392.52,65195.94,15959.48
132600.00,2.60,52.00,2224.00,437.00,1006.00,422.00,37.84,-122.27,5976.29,555535.93,734392.52,65195.94,15959.48
107500.00,2.40,41.00,535.00,123.00,317.00,119.00,37.85,-122.28,6781.86,556949.96,735808.17,66600.76,15751.79
93800.00,2.46,49.00,1130.00,244.00,607.00,239.00,37.85,-122.28,6781.86,556949.96,735808.17,66600.76,15751.79
105500.00,1.81,52.00,1898.00,421.00,1102.00,397.00,37.85,-122.28,6781.86,556949.96,735808.17,66600.76,15751.79
108900.00,1.64,50.00,2082.00,492.00,1131.00,473.00,37.84,-122.28,5698.73,556122.95,734964.88,65649.23,15184.82
132000.00,1.69,52.00,729.00,160.00,395.00,155.00,37.84,-122.28,5698.73,556122.95,734964.88,65649.23,15184.82
122300.00,1.93,49.00,1916.00,447.00,863.00,378.00,37.84,-122.28,5698.73,556122.95,734964.88,65649.23,15184.82
115200.00,1.96,52.00,2153.00,481.00,1168.00,441.00,37.84,-122.28,5698.73,556122.95,734964.88,65649.23,15184.82
110400.00,1.80,48.00,1922.00,409.00,1026.00,335.00,37.84,-122.27,5976.29,555535.93,734392.52,65195.94,15959.48
104900.00,1.38,49.00,1655.00,366.00,754.00,329.00,37.83,-122.27,4967.01,554708.96,733549.21,64242.78,15480.34
109700.00,2.73,51.00,2665.00,574.00,1258.00,536.00,37.83,-122.27,4967.01,554708.96,733549.21,64242.78,15480.34
97200.00,1.49,49.00,1215.00,282.00,570.00,264.00,37.83,-122.27,4967.01,554708.96,733549.21,64242.78,15480.34
104500.00,1.10,48.00,1798.00,432.00,987.00,374.00,37.83,-122.27,4967.01,554708.96,733549.21,64242.78,15480.34
103900.00,1.41,52.00,1511.00,390.00,901.00,403.00,37.83,-122.28,4629.27,555296.93,734122.30,64702.81,14680.30
191400.00,3.48,52.00,1470.00,330.00,689.00,309.00,37.83,-122.26,5427.30,554121.83,732976.78,63791.60,16288.48
176000.00,2.59,52.00,2432.00,715.00,1377.00,696.00,37.83,-122.26,5427.30,554121.83,732976.78,63791.60,16288.48
155400.00,2.10,52.00,1665.00,419.00,946.00,395.00,37.83,-122.26,5427.30,554121.83,732976.78,63791.60,16288.48
150000.00,1.29,51.00,936.00,311.00,517.00,249.00,37.83,-122.26,5427.30,554121.83,732976.78,63791.60,16288.48
118800.00,1.03,49.00,713.00,202.00,462.00,189.00,37.84,-122.26,6363.95,554949.75,733820.82,64751.46,16744.41
188800.00,3.96,52.00,950.00,202.00,467.00,198.00,37.84,-122.26,6363.95,554949.75,733820.82,64751.46,16744.41
184400.00,3.01,52.00,1443.00,311.00,660.00,292.00,37.83,-122.26,5427.30,554121.83,732976.78,63791.60,16288.48
182300.00,2.68,52.00,1656.00,420.00,718.00,382.00,37.83,-122.26,5427.30,554121.83,732976.78,63791.60,16288.48
142500.00,2.03,50.00,1125.00,322.00,616.00,304.00,37.83,-122.26,5427.30,554121.83,732976.78,63791.60,16288.48
137500.00,1.73,43.00,1007.00,312.00,558.00,253.00,37.82,-122.27,4012.37,553882.99,732706.61,63294.80,15068.17
187500.00,0.95,40.00,624.00,195.00,423.00,160.00,37.82,-122.26,4569.93,553294.90,732133.46,62836.76,15897.38
112500.00,1.78,40.00,946.00,375.00,700.00,352.00,37.82,-122.27,4012.37,553882.99,732706.61,63294.80,15068.17
171900.00,0.92,21.00,896.00,453.00,735.00,438.00,37.82,-122.27,4012.37,553882.99,732706.61,63294.80,15068.17
93800.00,1.50,43.00,1868.00,456.00,1061.00,407.00,37.82,-122.27,4012.37,553882.99,732706.61,63294.80,15068.17
97500.00,1.11,41.00,3221.00,853.00,1959.00,720.00,37.82,-122.27,4012.37,553882.99,732706.61,63294.80,15068.17
104200.00,1.25,52.00,1630.00,456.00,1162.00,400.00,37.82,-122.27,4012.37,553882.99,732706.61,63294.80,15068.17
87500.00,1.61,52.00,1170.00,235.00,701.00,233.00,37.82,-122.28,3585.77,554471.92,733280.44,63761.74,14244.88
83100.00,1.41,52.00,945.00,243.00,576.00,220.00,37.82,-122.28,3585.77,554471.92,733280.44,63761.74,14244.88
87500.00,1.51,52.00,1238.00,288.00,622.00,259.00,37.82,-122.28,3585.77,554471.92,733280.44,63761.74,14244.88
